epoch,accuracy,loss,val_accuracy,val_loss
10,0.9518029093742371,0.1624448001384735,0.995192289352417,0.016465971246361732
11,0.9881730675697327,0.039446983486413956,0.9975000023841858,0.0092267245054245
12,0.9934375286102295,0.02268620766699314,0.9990384578704834,0.006335074547678232
13,0.9959134459495544,0.013255233876407146,0.998846173286438,0.005950452294200659
14,0.9963461756706238,0.012127389200031757,0.998846173286438,0.00590514438226819
15,0.9972355961799622,0.009709450416266918,0.999423086643219,0.004643552470952272
16,0.9976682662963867,0.007674762979149818,0.998846173286438,0.004706339444965124
17,0.9983894228935242,0.005684587638825178,0.999423086643219,0.004181155934929848
18,0.9987019300460815,0.004750994499772787,0.998846173286438,0.005029376596212387
19,0.9986779093742371,0.0046980963088572025,0.999423086643219,0.0040074363350868225
