epoch,accuracy,loss,val_accuracy,val_loss
0,0.5597596168518066,1.6665540933609009,0.8836538195610046,0.4386533200740814
1,0.8117548227310181,0.636780321598053,0.9344230890274048,0.2393975853919983
2,0.8638942241668701,0.4510701894760132,0.9567307829856873,0.1642417013645172
3,0.8906490206718445,0.35883861780166626,0.9694230556488037,0.12123548239469528
4,0.9068509340286255,0.30070602893829346,0.9740384817123413,0.09305897355079651
5,0.917187511920929,0.2682710289955139,0.9765384793281555,0.07861572504043579
6,0.9258413314819336,0.24042604863643646,0.9803845882415771,0.06892762333154678
7,0.9328605532646179,0.21896906197071075,0.9834615588188171,0.0638999491930008
8,0.9342307448387146,0.20799671113491058,0.9848076701164246,0.05296500399708748
9,0.939350962638855,0.1944616138935089,0.9836538434028625,0.05455014854669571
