epoch,accuracy,loss,val_accuracy,val_loss
10,0.8373317122459412,0.5767577886581421,0.9775000214576721,0.0739331915974617
11,0.9470913410186768,0.17693574726581573,0.9903846383094788,0.03206635266542435
12,0.9662500023841858,0.1116381511092186,0.994038462638855,0.01913856714963913
13,0.9753605723381042,0.08296391367912292,0.9930769205093384,0.0213080532848835
14,0.9794471263885498,0.07202930003404617,0.9961538314819336,0.02184133604168892
15,0.9937019348144531,0.0226178839802742,0.998269259929657,0.0127625847235322
16,0.9939423203468323,0.018908601254224777,0.998846173286438,0.010515949688851833
17,0.9948797821998596,0.01798926666378975,0.9990384578704834,0.007547308225184679
18,0.995721161365509,0.015230792574584484,0.999423086643219,0.008426899090409279
19,0.9949519038200378,0.01876944676041603,0.998269259929657,0.009603899903595448
