epoch,accuracy,loss,val_accuracy,val_loss
0,0.4869711399078369,1.9605754613876343,0.8353846073150635,0.5911868810653687
1,0.7494471073150635,0.862434446811676,0.9007692337036133,0.3577132821083069
2,0.8062740564346313,0.647149920463562,0.9301922917366028,0.2429593801498413
3,0.8337980508804321,0.5393427610397339,0.9413461685180664,0.1923278421163559
4,0.8556970953941345,0.4731161594390869,0.9565384387969971,0.15389953553676605
5,0.8710576891899109,0.41736167669296265,0.9628846049308777,0.13233987987041473
6,0.8810336589813232,0.3865315318107605,0.9669230580329895,0.1102323904633522
7,0.8880047798156738,0.35601335763931274,0.9732692241668701,0.09553499519824982
8,0.8969470858573914,0.33372923731803894,0.9751923084259033,0.09312359988689423
9,0.9007452130317688,0.3212137520313263,0.9780769348144531,0.08377743512392044
