epoch,accuracy,loss,val_accuracy,val_loss
0,0.5575000047683716,1.7112377882003784,0.858269214630127,0.5194701552391052
1,0.8016586303710938,0.6842098832130432,0.9248076677322388,0.2807062566280365
2,0.8503365516662598,0.5034116506576538,0.9444230794906616,0.18943794071674347
3,0.8794230818748474,0.4012720286846161,0.9640384912490845,0.13724254071712494
4,0.8941826820373535,0.3480481803417206,0.9690384864807129,0.11466459929943085
5,0.9050240516662598,0.306812584400177,0.9746153950691223,0.09353087842464447
6,0.913533627986908,0.2774437367916107,0.9780769348144531,0.08228757232427597
7,0.9230769276618958,0.2504796087741852,0.9834615588188171,0.06222248822450638
8,0.9258173108100891,0.23709392547607422,0.983846127986908,0.06263256072998047
9,0.930961549282074,0.22302567958831787,0.983846127986908,0.05534057691693306
