epoch,accuracy,loss,val_accuracy,val_loss
0,0.2732692360877991,2.8386270999908447,0.674423098564148,1.2663170099258423
1,0.5920913219451904,1.4808589220046997,0.7840384840965271,0.7925429940223694
2,0.675000011920929,1.1394456624984741,0.8363461494445801,0.5980677008628845
3,0.7228365540504456,0.961399495601654,0.8661538362503052,0.48694345355033875
4,0.7512259483337402,0.855188250541687,0.886346161365509,0.4170496463775635
5,0.7702163457870483,0.7766585350036621,0.9013461470603943,0.3659507930278778
6,0.7844951748847961,0.7238100171089172,0.9150000214576721,0.31964507699012756
7,0.799302875995636,0.6740403175354004,0.9276922941207886,0.2781745195388794
8,0.8102884888648987,0.6300704479217529,0.9328846335411072,0.2578270435333252
9,0.8201442360877991,0.5932023525238037,0.942307710647583,0.2311791032552719
