epoch,accuracy,loss,val_accuracy,val_loss
0,0.22379808127880096,3.0122294425964355,0.6588461399078369,1.4011061191558838
1,0.5401201844215393,1.6407933235168457,0.7694230675697327,0.8503478765487671
2,0.6318028569221497,1.28219473361969,0.8125,0.6676293015480042
3,0.6836779117584229,1.0879324674606323,0.8461538553237915,0.5536349415779114
4,0.7091826796531677,0.9900569915771484,0.8651922941207886,0.4778343439102173
5,0.7308173179626465,0.9027113914489746,0.8796153664588928,0.4228563904762268
6,0.7530288696289062,0.8333916664123535,0.8905768990516663,0.3845787048339844
7,0.7670673131942749,0.7767422199249268,0.9032692313194275,0.34472617506980896
8,0.7763461470603943,0.7468061447143555,0.9167307615280151,0.3078156113624573
9,0.7856730818748474,0.7059375047683716,0.9232692122459412,0.2878456115722656
