epoch,accuracy,loss,val_accuracy,val_loss
10,0.8997595906257629,0.35128849744796753,0.8075000047683716,0.9882804751396179
11,0.9688221216201782,0.10107658058404922,0.8728846311569214,0.5432762503623962
12,0.9812019467353821,0.06215401738882065,0.9480769038200378,0.19755953550338745
13,0.9859374761581421,0.04525844380259514,0.9757692217826843,0.08048954606056213
14,0.9908654093742371,0.031249266117811203,0.9696153998374939,0.10716205090284348
15,0.9924278855323792,0.02385023795068264,0.9873076677322388,0.03858157992362976
16,0.9927884340286255,0.022284070029854774,0.989807665348053,0.032673172652721405
17,0.994735598564148,0.016382910311222076,0.9867307543754578,0.04664662852883339
18,0.9952163696289062,0.016336215659976006,0.9944230914115906,0.02167491242289543
19,0.9955769181251526,0.014602296985685825,0.9932692050933838,0.025051480159163475
